epoch,phase,node0_memfree_kb,global_memavailable_kb,top_py_pid,top_py_vmrss_kb
1785933382,p352,468635648,1703635968,0,0
1785933386,p352,468643328,1703174976,0,0
1785933389,p352,468650304,1702680320,0,0
1785933393,p352,468659520,1702089088,0,0
1785933396,p352,468666816,1701714560,0,0
1785933400,p352,468676224,1701316672,0,0
1785933403,p352,468683520,1700985408,0,0
1785933406,p352,468619392,1700597440,0,0
1785933410,p352,468628992,1700288000,0,0
1785933413,p352,468636288,1699840832,0,0
1785933417,p352,468644928,1699532800,0,0
1785933420,p352,468654144,1698818880,0,0
1785933424,p352,468577152,1698259520,0,0
1785933428,p352,467919744,1696520448,0,0
1785933431,p352,463593984,1684699008,0,0
1785933435,p352,462063808,1681127232,0,0
1785933438,p352,461031616,1680003648,0,0
1785933442,p352,458990592,1676912576,0,0
1785933445,p352,457593024,1675484416,0,0
1785933449,p352,456674304,1675052480,0,0
1785933452,p352,456334080,1677534016,0,0
1785933456,p352,455731136,1677154368,0,0
1785933459,p352,455887872,1677241344,0,0
1785933463,p352,459815808,1686293632,0,0
1785933467,p352,459378368,1685977216,0,0
1785933470,p352,459312832,1685920960,0,0
1785933474,p352,459383936,1685107456,0,0
1785933477,p352,459444608,1681762176,0,0
1785933481,p352,459330688,1681158912,0,0
1785933484,p352,459125440,1680228160,0,0
1785933488,p352,459140992,1679492480,0,0
1785933492,p352,458989312,1678626368,0,0
1785933495,p352,459191808,1678080064,0,0
1785933499,p352,459088000,1677240000,0,0
1785933502,p352,459014016,1676456960,0,0
1785933506,p352,458998336,1675712704,0,0
1785933509,p352,459088896,1675071872,0,0
1785933513,p352,458861376,1674137984,0,0
1785933516,p352,458850368,1673381440,0,0
1785933520,p352,458801856,1672596416,0,0
1785933523,p352,458813312,1669316160,0,0
1785933527,p352,458757952,1668459520,0,0
1785933531,p352,448688000,1668733376,0,0
1785933536,p352,364981504,1582337024,0,0
1785933540,p352,282734272,1500460800,0,0
1785933544,p352,200575040,1410917312,0,0
1785933548,p352,204552768,1405680896,0,0
1785933551,p352,213485376,1398906560,0,0
1785933555,p352,222203008,1391838144,0,0
1785933559,p352,231064896,1384525184,0,0
1785933563,p352,240044928,1377379840,0,0
1785933566,p352,249096640,1368376000,0,0
1785933570,p352,258322240,1359772416,0,0
1785933574,p352,267489344,1350578880,0,0
1785933578,p352,278929344,1347863360,0,0
1785933581,p352,288231296,1335474368,0,0
1785933585,p352,299670272,1329144128,0,0
1785933589,p352,311357632,1324211136,0,0
1785933593,p352,316479232,1313618176,0,0
1785933596,p352,313143936,1312545216,0,0
1785933600,p352,312813504,1312228480,0,0
1785933603,p352,312623616,1311986688,0,0
1785933607,p352,312386432,1311656192,0,0
1785933611,p352,312183808,1311326912,0,0
1785933614,p352,312236608,1311130496,0,0
1785933618,p352,312116608,1310983488,0,0
1785933622,p352,311862656,1310407360,0,0
1785933625,p352,311953216,1310247744,0,0
1785933629,p352,311898624,1310102016,0,0
1785933633,p352,311858496,1309954240,0,0
1785933636,p352,311740544,1309882176,0,0
1785933640,p352,311860480,1309868288,0,0
1785933644,p352,311986176,1309746688,0,0
1785933647,p352,311926208,1309678272,0,0
1785933651,p352,311850880,1309469696,0,0
1785933655,p352,311787776,1309398400,0,0
1785933658,p352,311649728,1309198336,0,0
1785933662,p352,311599552,1309204096,0,0
1785933666,p352,311615424,1309191360,0,0
1785933669,p352,311790528,1309487296,0,0
1785933673,p352,311946880,1309557312,0,0
1785933677,p352,311990336,1309620544,0,0
1785933680,p352,312080448,1309718720,0,0
1785933684,p352,312200704,1309808384,0,0
1785933688,p352,312200832,1309766080,0,0
1785933691,p352,312196160,1309893248,0,0
1785933695,p352,312357120,1310138624,0,0
1785933699,p352,312372736,1310163392,0,0
1785933702,p352,312494784,1310312064,0,0
1785933706,p352,312565248,1310348992,0,0
1785933710,p352,312513472,1310245120,0,0
1785933713,p352,312432704,1310230464,0,0
1785933717,p352,312426624,1310144384,0,0
1785933721,p352,312298240,1310060608,0,0
1785933724,p352,312155200,1309713024,0,0
1785933728,p352,312242496,1309829888,0,0
1785933732,p352,311502848,1309248640,0,0
1785933735,p352,310733056,1308809792,0,0
1785933739,p352,310016320,1308470848,0,0
1785933743,p352,309175424,1307958400,0,0
1785933747,p352,308365376,1307521280,0,0
1785933750,p352,307364608,1306823872,0,0
1785933754,p352,306032832,1305887552,0,0
1785933758,p352,305114752,1305285952,0,0
1785933762,p352,304277440,1304812096,0,0
1785933765,p352,303498112,1304411456,0,0
1785933769,p352,303045888,1304310144,0,0
1785933773,p352,302082816,1303713408,0,0
1785933777,p352,301147712,1302940608,0,0
1785933780,p352,299756096,1301867648,0,0
1785933784,p352,299161664,1301478720,0,0
