epoch,phase,node0_memfree_kb,global_memavailable_kb,top_rss_kb
1785943201,f2t3_384000,491280256,1716307264,0
1785943203,f2t3_384000,491282240,1716306368,0
1785943205,f2t3_384000,491285120,1716326848,0
1785943207,f2t3_384000,491284928,1716333376,0
1785943209,f2t3_384000,491285120,1716339520,0
1785943211,f2t3_384000,491285504,1716342656,0
1785943213,f2t3_384000,491278976,1716341568,0
1785943216,f2t3_384000,491280128,1716339968,0
1785943218,f2t3_384000,491273984,1716344448,0
1785943220,f2t3_384000,491275136,1716349760,0
1785943222,f2t3_384000,491273984,1716346880,0
1785943224,f2t3_384000,491267456,1716342592,0
1785943226,f2t3_384000,491268800,1716342656,0
1785943228,f2t3_384000,491269376,1716340928,0
1785943230,f2t3_384000,491271488,1716347904,0
1785943232,f2t3_384000,491275072,1716218304,92160
1785943234,f2t3_384000,491272640,1716095168,147456
1785943236,f2t3_384000,491274560,1716129408,147456
1785943238,f2t3_384000,491275712,1715838656,645120
1785943240,f2t3_384000,491277312,1715624384,829440
1785943242,f2t3_384000,491278080,1714594816,1658880
1785943244,f2t3_384000,491279424,1714124544,2009088
1785943246,f2t3_384000,491280000,1714917888,479232
1785943248,f2t3_384000,491287168,1714665280,552960
1785943250,f2t3_384000,491295232,1714302080,552960
1785943252,f2t3_384000,491298880,1713957184,718848
1785943254,f2t3_384000,491299328,1712652160,1105920
1785943256,f2t3_384000,491305920,1712119744,1142784
1785943258,f2t3_384000,491309760,1708178624,1225024
1785943260,f2t3_384000,491316288,1707185920,1335616
1785943263,f2t3_384000,491317632,1706392128,1446208
1785943265,f2t3_384000,491322432,1705737472,1575232
1785943267,f2t3_384000,491328960,1705068224,1685824
1785943269,f2t3_384000,491336640,1704409088,1796416
1785943271,f2t3_384000,491341248,1703651264,1907008
1785943273,f2t3_384000,491342400,1703121024,2017600
1785943275,f2t3_384000,491344320,1702620800,2146624
1785943277,f2t3_384000,491350656,1702046656,2257216
1785943279,f2t3_384000,491355328,1701460160,2367808
1785943281,f2t3_384000,491362432,1701079552,2478400
1785943283,f2t3_384000,491368768,1700688768,2588992
1785943285,f2t3_384000,491371968,1700374016,2718016
1785943287,f2t3_384000,491378880,1699833024,2828608
1785943289,f2t3_384000,491384256,1699597696,2939200
1785943291,f2t3_384000,491382720,1699261568,3049792
1785943293,f2t3_384000,491388800,1698823872,3160384
1785943295,f2t3_384000,491395456,1698402304,3270976
1785943297,f2t3_384000,491392576,1697987968,3381568
1785943299,f2t3_384000,491398336,1697406336,3492160
1785943301,f2t3_384000,491404800,1696967936,3602752
1785943303,f2t3_384000,491408448,1696431104,3713344
1785943306,f2t3_384000,491413824,1696190080,3823936
1785943308,f2t3_384000,491419584,1694822080,4671808
1785943310,f2t3_384000,491423680,1692577728,4889216
1785943312,f2t3_384000,491428672,1692373696,4879104
1785943314,f2t3_384000,491434624,1691292160,5261568
1785943316,f2t3_384000,491439232,1697067072,5261760
1785943318,f2t3_384000,491441920,1706582272,1184640
1785943320,f2t3_384000,459913984,1667409600,58944832
1785943322,f2t3_384000,420075520,1622005248,132450816
1785943324,f2t3_384000,382200000,1583250816,206398528
1785943326,f2t3_384000,342123712,1544504064,280359872
1785943328,f2t3_384000,303730880,1506220160,355808896
1785943330,f2t3_384000,265050304,1466167232,431115904
1785943332,f2t3_384000,226465664,1427909632,506430720
1785943334,f2t3_384000,216081024,1418400256,527206592
1785943336,f2t3_384000,218024000,1409929792,534180480
1785943338,f2t3_384000,225162624,1409532672,536485696
1785943340,f2t3_384000,229535744,1407136768,537687808
1785943343,f2t3_384000,234320640,1399768448,544521152
1785943345,f2t3_384000,238767872,1395038784,549920256
1785943347,f2t3_384000,243552064,1390535744,548532672
1785943349,f2t3_384000,250533760,1390006848,554803072
1785943351,f2t3_384000,255323712,1382077056,561422912
1785943353,f2t3_384000,262487552,1382662080,561749568
1785943355,f2t3_384000,267165504,1374402112,569549120
1785943357,f2t3_384000,274278592,1374090688,568106368
1785943359,f2t3_384000,279041600,1365369088,577675264
1785943361,f2t3_384000,285990720,1365478720,578500800
1785943363,f2t3_384000,290757056,1356766336,585929728
1785943365,f2t3_384000,297870592,1357125376,586809408
1785943367,f2t3_384000,302603968,1348518016,589963584
1785943369,f2t3_384000,309725952,1345858880,596907648
1785943371,f2t3_384000,316826560,1345023488,597654528
1785943373,f2t3_384000,321561920,1335454848,607260224
1785943375,f2t3_384000,328354944,1332391360,610140480
1785943377,f2t3_384000,335449856,1331902336,610971776
1785943380,f2t3_384000,329694912,1324059328,614235776
1785943382,f2t3_384000,328047744,1322187200,620100288
1785943384,f2t3_384000,325595968,1322000768,619218176
1785943386,f2t3_384000,325276800,1321690240,619218176
1785943388,f2t3_384000,324983616,1321408896,619218176
1785943390,f2t3_384000,324563328,1321001664,619218176
1785943392,f2t3_384000,324256832,1320704256,619218176
1785943394,f2t3_384000,323849472,1320305728,619218176
1785943396,f2t3_384000,323533440,1319999168,619218176
1785943398,f2t3_384000,323241792,1319714816,619218176
1785943400,f2t3_384000,323071104,1319539456,619218176
1785943402,f2t3_384000,323120768,1319577856,619218176
1785943404,f2t3_384000,323160896,1319410112,619218176
1785943406,f2t3_384000,323186240,1319221568,619218176
1785943408,f2t3_384000,323239040,1319101312,619218176
1785943410,f2t3_384000,323274368,1318917696,619218176
1785943412,f2t3_384000,323307328,1318753152,619218176
1785943414,f2t3_384000,323347840,1318644544,619218176
1785943416,f2t3_384000,323383360,1318555584,619218176
1785943418,f2t3_384000,323415744,1318446144,619218176
1785943420,f2t3_384000,323454400,1318355584,619218176
1785943422,f2t3_384000,323488768,1318206144,619218176
1785943425,f2t3_384000,323523136,1318254784,619218176
1785943427,f2t3_384000,323561344,1318171200,619218176
1785943429,f2t3_384000,323588608,1318126720,619218176
1785943431,f2t3_384000,323627008,1318101376,619218176
1785943433,f2t3_384000,323651584,1317974976,619218176
1785943435,f2t3_384000,323683264,1317996224,619218176
