name,available,data_bytes,rss_bytes,rss_peak_bytes,source,stack_bytes,virtual_memory_bytes,avg_process_rss_delta_bytes,avg_process_rss_end_bytes,avg_process_rss_start_bytes,avg_process_virtual_memory_delta_bytes,avg_process_virtual_memory_end_bytes,avg_process_virtual_memory_start_bytes,max_process_rss_end_bytes,max_process_rss_peak_end_bytes,max_process_virtual_memory_end_bytes,process_rss_pre_step_overhead_delta_bytes,process_rss_delta_bytes
report,True,156606464000,244115636224,244115636224,/proc/self/status,393216,743132626944,,,,,,,,,,,
lf.data.next,,,,,,,,0.0,244096761856.0,244096761856.0,0.0,743065452544.0,743065452544.0,244096761856,244096761856,743065452544,,
lf.grad_clip,,,,,,,,0.0,244115636224.0,244115636224.0,0.0,743065452544.0,743065452544.0,244115636224,244115636224,743065452544,,
lf.inputs.prepare,,,,,,,,0.0,244096761856.0,244096761856.0,0.0,743065452544.0,743065452544.0,244096761856,244096761856,743065452544,,
lf.log_save_eval,,,,,,,,0.0,244115636224.0,244115636224.0,0.0,743066697728.0,743066697728.0,244115636224,244115636224,743066697728,,
lf.optimizer.step,,,,,,,,0.0,244056316781.7143,244056316781.7143,149796.57142857142,743065480630.8572,743065330834.2858,244115636224,244115636224,743066697728,,
lf.scheduler.step,,,,,,,,0.0,244115636224.0,244115636224.0,0.0,743066697728.0,743066697728.0,244115636224,244115636224,743066697728,,
lf.step.total,,,,,,,,18874368.0,244115636224.0,244096761856.0,0.0,743065452544.0,743065452544.0,244115636224,244115636224,743065452544,,
step.backward,,,,,,,,0.0,244115636224.0,244115636224.0,0.0,743065452544.0,743065452544.0,244115636224,244115636224,743065452544,,
step.forward,,,,,,,,18874368.0,244115636224.0,244096761856.0,0.0,743065452544.0,743065452544.0,244115636224,244115636224,743065452544,,
optimizer_step_start,True,156605480960,244115636224,244115636224,/proc/self/status,393216,743065649152,,,,,,,,,,0,
optimizer_step_before,True,156606529536,244115636224,244115636224,/proc/self/status,393216,743066697728,,,,,,,,,,0,
optimizer_step_after,True,156606529536,244115636224,244115636224,/proc/self/status,393216,743066697728,,,,,,,,,,,0
