name,available,data_bytes,rss_bytes,rss_peak_bytes,source,stack_bytes,virtual_memory_bytes,avg_process_rss_delta_bytes,avg_process_rss_end_bytes,avg_process_rss_start_bytes,avg_process_virtual_memory_delta_bytes,avg_process_virtual_memory_end_bytes,avg_process_virtual_memory_start_bytes,max_process_rss_end_bytes,max_process_rss_peak_end_bytes,max_process_virtual_memory_end_bytes,process_rss_pre_step_overhead_delta_bytes,process_rss_delta_bytes
report,True,156667346944,206174683136,213280882688,/proc/self/status,458752,742072057856,,,,,,,,,,,
lf.data.next,,,,,,,,0.0,205885603840.0,205885603840.0,0.0,742005473280.0,742005473280.0,205885603840,213280882688,742005473280,,
lf.grad_clip,,,,,,,,0.0,206003961856.0,206003961856.0,0.0,742006128640.0,742006128640.0,206003961856,213280882688,742006128640,,
lf.inputs.prepare,,,,,,,,0.0,205885603840.0,205885603840.0,0.0,742005473280.0,742005473280.0,205885603840,213280882688,742005473280,,
lf.log_save_eval,,,,,,,,0.0,206174683136.0,206174683136.0,0.0,742006128640.0,742006128640.0,206174683136,213280882688,742006128640,,
lf.optimizer.step,,,,,,,,-21739227.42857143,205950559378.2857,205972298605.7143,0.0,742005407744.0,742005407744.0,206174683136,213280882688,742006128640,,
lf.scheduler.step,,,,,,,,0.0,206174683136.0,206174683136.0,0.0,742006128640.0,742006128640.0,206174683136,213280882688,742006128640,,
lf.step.total,,,,,,,,118358016.0,206003961856.0,205885603840.0,655360.0,742006128640.0,742005473280.0,206003961856,213280882688,742006128640,,
step.backward,,,,,,,,0.0,206003961856.0,206003961856.0,0.0,742006128640.0,742006128640.0,206003961856,213280882688,742006128640,,
step.forward,,,,,,,,118358016.0,206003961856.0,205885603840.0,0.0,742005473280.0,742005473280.0,206003961856,213280882688,742005473280,,
optimizer_step_start,True,156667412480,206003961856,213280882688,/proc/self/status,458752,742006128640,,,,,,,,,,0,
optimizer_step_before,True,156667412480,206003961856,213280882688,/proc/self/status,458752,742006128640,,,,,,,,,,0,
optimizer_step_after,True,156667412480,206174683136,213280882688,/proc/self/status,458752,742006128640,,,,,,,,,,,170721280
