name,available,data_bytes,rss_bytes,rss_peak_bytes,source,stack_bytes,virtual_memory_bytes,avg_process_rss_delta_bytes,avg_process_rss_end_bytes,avg_process_rss_start_bytes,avg_process_virtual_memory_delta_bytes,avg_process_virtual_memory_end_bytes,avg_process_virtual_memory_start_bytes,max_process_rss_end_bytes,max_process_rss_peak_end_bytes,max_process_virtual_memory_end_bytes,process_rss_pre_step_overhead_delta_bytes,process_rss_delta_bytes
report,True,156626255872,276425670656,277017853952,/proc/self/status,393216,811341381632,,,,,,,,,,,
lf.data.next,,,,,,,,0.0,276352401408.0,276352401408.0,0.0,811275452416.0,811275452416.0,276352401408,276985479168,811275452416,,
lf.grad_clip,,,,,,,,0.0,276980105216.0,276980105216.0,0.0,811275452416.0,811275452416.0,276980105216,276985479168,811275452416,,
lf.inputs.prepare,,,,,,,,0.0,276352401408.0,276352401408.0,0.0,811275452416.0,811275452416.0,276352401408,276985479168,811275452416,,
lf.log_save_eval,,,,,,,,0.0,276425670656.0,276425670656.0,0.0,811275452416.0,811275452416.0,276425670656,277017853952,811275452416,,
lf.optimizer.step,,,,,,,,-544426276.5714285,276374047012.5714,276918473289.1429,0.0,811275452416.0,811275452416.0,276425670656,277017853952,811275452416,,
lf.scheduler.step,,,,,,,,0.0,276425670656.0,276425670656.0,0.0,811275452416.0,811275452416.0,276425670656,277017853952,811275452416,,
lf.step.total,,,,,,,,627703808.0,276980105216.0,276352401408.0,0.0,811275452416.0,811275452416.0,276980105216,276985479168,811275452416,,
step.backward,,,,,,,,188743680.0,276980105216.0,276791361536.0,0.0,811275452416.0,811275452416.0,276980105216,276985479168,811275452416,,
step.forward,,,,,,,,438960128.0,276791361536.0,276352401408.0,0.0,811275452416.0,811275452416.0,276791361536,276985479168,811275452416,,
optimizer_step_start,True,156626321408,276980105216,276985479168,/proc/self/status,393216,811275452416,,,,,,,,,,0,
optimizer_step_before,True,156626321408,276980105216,276985479168,/proc/self/status,393216,811275452416,,,,,,,,,,0,
optimizer_step_after,True,156626321408,276425670656,277017853952,/proc/self/status,393216,811275452416,,,,,,,,,,,-554434560
