cell	verdict	peak_unevict_gib	min_avail_gib	peak_hbm_gib	steps	wall_s
SMOKE1_mini	OK	8.5	919.3	-1.0	-	96
V1_prefix_98b_128k	OK	699.3	222.6	78.1	-	776
V2_exact_98b_128k	OK	406.6	513.5	78.1	-	758
V3_exactpark_98b_128k	OK	303.5	621.8	176.4	-	771
X1_218b_128k	OK	707.4	216.7	172.9	-	1220
X2_233b_128k	OK	762.7	162.5	172.9	-	1326
X3_249b_128k	OK	820.9	105.5	172.9	-	1394
X4_264b_128k	OK	876.2	55.5	172.9	-	1508
X5_279b_128k	C_OOM(steady)	909.5	24.7	172.9	-	1088
Y1_233b_64k	OK	564.9	361.2	148.5	-	761
Y2_264b_64k	OK	652.1	279.6	148.5	-	962
Y3_295b_64k	OK	739.2	191.0	148.7	-	1001
Y4_310b_64k	OK	782.8	150.0	148.5	-	1121
Y5_325b_64k	OK	826.6	106.7	148.5	-	1124
Y6_340b_64k	OK	870.2	60.9	148.5	-	1190
Y7_356b_64k	C_OOM(steady)	910.4	24.5	148.5	-	965
X6_268b_128k	OK	890.0	40.7	173.0	-	1505
D1_279b_load_diag	C_OOM(steady)	904.4	25.0	173.0	-	942
SMOKE2_recovery_mini	OK	6.2	923.1	1.7	-	76
