#epoch	anon	shmem	unevict	memfree	file	avail
1784992273	3.2	0.5	3.7	908.0	19.1	926.6
1784992275	3.3	0.5	3.8	908.0	19.1	926.6
1784992277	3.3	0.5	3.8	908.0	19.1	926.6
1784992279	3.6	0.5	4.1	908.0	19.1	926.6
1784992281	3.8	0.5	4.3	907.9	19.1	926.5
1784992283	4.0	0.5	4.5	907.7	19.3	926.4
1784992285	5.4	0.5	6.0	906.8	19.3	925.6
1784992287	5.7	0.5	6.3	906.7	19.3	925.5
1784992289	5.8	0.5	6.4	906.6	19.3	925.4
1784992291	5.9	0.5	6.4	906.6	19.3	925.4
1784992293	5.9	0.5	6.5	906.5	19.3	925.3
1784992295	6.0	0.5	6.5	906.5	19.3	925.3
1784992297	6.0	0.5	6.5	906.5	19.3	925.3
1784992299	6.0	0.5	6.5	906.5	19.3	925.2
1784992301	6.0	0.5	6.6	906.2	19.3	925.0
1784992303	9.3	0.5	9.8	904.6	19.3	923.3
1784992305	10.8	0.5	11.3	903.6	19.3	922.4
1784992307	11.0	0.5	11.5	903.4	19.3	922.1
1784992309	11.5	0.5	12.0	902.8	19.3	921.5
1784992311	12.1	0.5	12.6	902.2	19.3	920.9
1784992313	12.4	0.5	12.9	901.9	19.3	920.6
1784992315	12.4	0.5	13.0	902.0	19.3	920.8
1784992317	12.6	0.5	13.2	901.9	19.3	920.6
1784992319	13.0	0.5	13.5	901.7	19.3	920.4
1784992321	13.3	0.5	13.8	901.4	19.3	920.2
1784992323	13.2	0.5	13.7	901.4	19.3	920.2
1784992325	13.3	0.5	13.9	901.3	19.3	920.0
1784992327	13.5	0.5	14.1	901.5	19.3	920.2
1784992329	13.8	0.5	14.3	901.2	19.3	919.9
1784992331	13.7	0.5	14.2	901.4	19.3	920.1
1784992334	13.9	0.5	14.4	901.2	19.3	920.0
1784992336	12.6	0.5	13.2	902.3	19.3	921.0
1784992338	12.6	0.5	13.1	902.3	19.3	921.1
1784992340	12.6	0.5	13.1	902.0	19.4	920.8
1784992342	3.5	0.5	4.0	911.0	19.5	930.0
1784992344	3.5	0.5	4.1	910.8	19.5	929.8
1784992346	3.6	0.5	4.1	910.4	19.5	929.4
