#epoch	anon	shmem	unevict	memfree	file	avail
1784968962	3.1	0.5	3.6	919.5	8.3	927.3
1784968964	3.2	0.5	3.7	919.4	8.3	927.2
1784968966	3.4	0.5	3.9	919.3	8.3	927.1
1784968968	3.5	0.5	4.1	919.1	8.3	926.9
1784968970	3.7	0.5	4.3	918.9	8.3	926.7
1784968972	3.9	0.5	4.5	918.7	8.3	926.5
1784968974	3.9	0.5	4.5	918.7	8.3	926.5
1784968976	4.0	0.5	4.5	918.7	8.3	926.5
1784968978	4.0	0.5	4.5	918.7	8.3	926.5
1784968980	4.6	0.5	5.2	918.5	8.3	926.2
1784968982	4.9	0.5	5.5	918.3	8.3	926.1
1784968984	5.0	0.5	5.5	918.3	8.3	926.0
1784968986	5.0	0.5	5.5	918.3	8.3	926.0
1784968988	5.0	0.5	5.5	918.3	8.3	926.0
1784968990	5.0	0.5	5.5	918.2	8.3	926.0
1784968992	3.1	0.5	3.7	919.8	8.3	927.5
1784968994	3.4	0.5	3.9	919.3	8.3	927.1
1784968996	3.5	0.5	4.0	919.1	8.3	926.9
1784968998	3.6	0.5	4.1	918.8	8.3	926.6
1784969000	3.7	0.5	4.2	918.4	8.3	926.1
1784969002	4.3	0.6	4.9	917.5	8.5	925.4
1784969004	4.4	0.6	5.0	916.8	8.5	924.7
1784969006	5.0	0.6	5.6	916.0	8.5	923.9
1784969008	5.2	0.6	5.9	915.4	8.5	923.3
1784969010	4.0	0.6	4.7	915.6	8.6	923.6
1784969012	4.0	0.6	4.6	915.5	8.7	923.5
1784969014	4.0	0.7	4.6	915.4	8.7	923.4
1784969016	4.3	0.7	5.0	914.9	9.0	923.2
1784969018	4.4	0.7	5.1	914.6	9.1	923.0
1784969020	4.6	0.7	5.3	914.2	9.4	922.9
1784969022	5.2	0.7	5.9	913.6	9.5	922.3
1784969024	5.5	0.7	6.2	913.3	9.5	922.0
1784969026	6.0	0.7	6.7	912.8	9.5	921.5
1784969028	6.4	0.7	7.1	912.4	9.5	921.1
1784969030	7.0	0.7	7.7	911.7	9.5	920.5
1784969032	7.3	0.7	8.0	911.3	9.5	920.1
1784969034	7.5	0.7	8.2	911.0	9.5	919.7
1784969036	7.7	0.7	8.4	910.8	9.5	919.5
1784969038	7.8	0.7	8.5	910.6	9.5	919.3
1784969040	4.3	0.7	5.0	913.1	9.5	921.9
1784969042	5.3	0.7	6.0	912.4	10.2	921.9
1784969044	5.4	0.7	6.1	912.3	10.2	921.8
1784969046	5.2	0.7	5.9	912.2	10.2	921.7
1784969048	3.4	0.5	3.9	914.2	10.0	923.7
1784969050	3.1	0.5	3.7	914.3	10.1	923.9
1784969052	3.4	0.5	4.0	914.3	10.1	923.8
1784969054	3.3	0.5	3.9	914.4	10.1	923.9
1784969056	3.4	0.5	4.0	914.4	10.1	924.0
