#epoch	anon	shmem	unevict	memfree	file	avail
1785070365	3.3	0.5	3.8	913.5	12.3	925.2
1785070367	3.4	0.5	3.9	913.2	12.4	925.1
1785070369	3.4	0.5	3.9	913.2	12.5	925.2
1785070371	3.6	0.5	4.2	913.0	12.5	925.0
1785070373	3.7	0.5	4.3	912.8	12.7	924.9
1785070375	3.9	0.5	4.4	912.6	12.7	924.8
1785070377	4.1	0.5	4.7	912.3	12.8	924.6
1785070379	4.1	0.5	4.7	912.3	12.8	924.6
1785070381	4.1	0.5	4.7	912.2	12.8	924.6
1785070383	4.1	0.5	4.7	912.2	12.8	924.6
1785070385	4.9	0.5	5.5	912.0	12.8	924.3
1785070387	5.1	0.5	5.6	912.0	12.8	924.3
1785070389	5.1	0.5	5.6	912.0	12.8	924.3
1785070391	5.1	0.5	5.6	912.0	12.8	924.3
1785070393	5.1	0.5	5.6	912.0	12.8	924.3
1785070395	5.0	0.5	5.6	912.0	12.8	924.3
1785070397	3.5	0.5	4.1	913.2	12.9	925.6
1785070399	3.6	0.5	4.1	913.0	12.9	925.4
1785070401	3.6	0.5	4.2	913.0	12.9	925.3
1785070403	3.7	0.5	4.2	912.9	12.9	925.3
1785070405	3.8	0.5	4.3	912.9	12.9	925.2
1785070407	3.9	0.6	4.6	912.3	13.1	924.8
1785070409	4.2	0.6	4.8	911.9	13.1	924.3
1785070411	4.8	0.6	5.4	911.4	13.1	923.9
1785070413	5.4	0.6	6.0	910.8	13.1	923.3
1785070415	4.2	0.6	4.8	911.6	13.1	924.1
1785070417	4.2	0.6	4.8	911.7	13.2	924.2
1785070419	4.2	0.6	4.8	911.5	13.2	924.1
1785070421	4.2	0.7	4.8	911.6	13.3	924.2
1785070423	4.5	0.7	5.2	911.1	13.7	924.1
1785070425	5.5	0.7	6.2	910.1	13.9	923.3
1785070427	5.3	0.7	6.0	909.9	13.9	923.1
1785070429	3.5	0.5	4.0	911.5	13.8	924.8
1785070431	3.3	0.5	3.8	911.4	13.8	924.6
1785070433	3.6	0.5	4.2	911.4	13.8	924.6
1785070435	3.5	0.5	4.1	911.3	13.8	924.5
1785070437	3.6	0.5	4.2	911.3	13.9	924.6
1785070439	3.3	0.5	3.8	911.4	14.0	924.8
