#epoch	anon	shmem	unevict	memfree	file	avail
1784969204	3.1	0.5	3.6	915.0	10.1	924.5
1784969206	3.2	0.5	3.8	915.0	10.1	924.5
1784969208	3.2	0.5	3.8	915.0	10.1	924.5
1784969210	3.5	0.5	4.1	914.7	10.1	924.3
1784969212	3.7	0.5	4.3	914.6	10.1	924.1
1784969214	4.3	0.5	4.8	914.1	10.1	923.6
1784969216	5.4	0.5	6.0	914.0	10.1	923.5
1784969218	5.7	0.5	6.2	913.8	10.1	923.4
1784969220	5.7	0.5	6.3	913.8	10.1	923.3
1784969223	5.8	0.5	6.4	913.8	10.1	923.3
1784969225	5.9	0.5	6.4	913.8	10.1	923.3
1784969227	5.9	0.5	6.4	913.7	10.1	923.2
1784969229	5.9	0.5	6.5	913.7	10.1	923.2
1784969231	5.9	0.5	6.5	913.7	10.1	923.2
1784969233	6.0	0.5	6.5	913.7	10.1	923.2
1784969235	9.2	0.5	9.7	911.9	10.1	921.4
1784969237	10.7	0.5	11.2	910.4	10.1	919.9
1784969239	10.9	0.5	11.4	910.7	10.1	920.2
1784969241	11.5	0.5	12.1	909.8	10.1	919.3
1784969243	11.8	0.5	12.4	909.7	10.1	919.2
1784969245	11.8	0.5	12.4	909.8	10.1	919.4
1784969247	12.3	0.5	12.8	909.6	10.1	919.1
1784969249	12.8	0.5	13.3	908.7	10.1	918.2
1784969251	13.0	0.5	13.5	908.5	10.1	918.1
1784969253	13.1	0.5	13.6	908.2	10.1	917.7
1784969255	13.1	0.5	13.7	908.0	10.1	917.5
1784969257	13.5	0.5	14.1	907.7	10.1	917.2
1784969259	13.2	0.5	13.8	908.0	10.1	917.5
1784969261	14.0	0.5	14.5	907.6	10.1	917.1
1784969263	13.6	0.5	14.1	907.8	10.1	917.3
1784969265	12.6	0.5	13.2	908.6	10.1	918.1
1784969267	12.6	0.5	13.1	908.5	10.2	918.2
1784969269	12.5	0.5	13.0	908.4	10.3	918.1
1784969271	3.4	0.5	3.9	917.3	10.3	927.1
1784969273	3.5	0.5	4.0	917.2	10.3	926.9
