#epoch	anon	shmem	unevict	memfree	file	avail
1784970250	3.1	0.5	3.7	726.0	191.7	917.2
1784970252	3.3	0.5	3.8	725.9	191.7	917.1
1784970254	3.3	0.5	3.8	725.9	191.7	917.1
1784970256	3.6	0.5	4.1	725.7	191.7	916.9
1784970258	3.8	0.5	4.3	725.5	191.7	916.7
1784970260	4.8	0.5	5.3	724.8	191.7	916.0
1784970262	5.6	0.5	6.1	724.4	191.7	915.6
1784970264	5.7	0.5	6.2	724.3	191.7	915.5
1784970266	5.8	0.5	6.3	724.2	191.7	915.3
1784970268	5.9	0.5	6.4	724.1	191.7	915.3
1784970270	5.9	0.5	6.4	724.1	191.7	915.2
1784970272	5.9	0.5	6.5	724.0	191.7	915.2
1784970274	6.0	0.5	6.5	723.9	191.7	915.1
1784970276	6.0	0.5	6.5	723.9	191.7	915.1
1784970278	9.0	0.5	9.6	721.5	191.7	912.7
1784970280	9.8	0.5	10.3	720.8	191.7	911.9
1784970282	10.9	0.5	11.5	719.5	191.7	910.7
1784970284	12.1	0.5	12.7	718.2	191.7	909.4
1784970286	12.0	0.5	12.5	718.0	191.7	909.2
1784970288	12.3	0.5	12.8	717.5	191.7	908.7
1784970290	12.4	0.5	13.0	717.4	191.7	908.6
1784970292	12.5	0.5	13.1	717.2	191.7	908.4
1784970294	13.0	0.5	13.5	716.9	191.7	908.1
1784970296	12.6	0.5	13.1	717.1	191.7	908.3
1784970298	13.3	0.5	13.9	716.4	191.7	907.5
1784970300	13.5	0.5	14.0	716.1	191.7	907.3
1784970302	13.8	0.5	14.3	715.9	191.7	907.1
1784970304	13.7	0.5	14.2	715.8	191.7	907.0
1784970306	13.8	0.5	14.3	715.7	191.7	906.9
1784970308	12.3	0.5	12.8	717.1	191.7	908.2
1784970310	12.2	0.5	12.8	717.0	191.7	908.2
1784970312	12.2	0.5	12.8	717.2	191.6	908.3
1784970314	3.4	0.5	3.9	726.1	191.7	917.3
1784970316	3.5	0.5	4.0	726.0	191.7	917.2
1784970318	3.5	0.5	4.0	725.8	191.7	917.0
1784970320	3.6	0.5	4.1	725.6	191.7	916.8
1784970322	3.7	0.5	4.2	725.4	191.7	916.6
1784970324	3.9	0.6	4.6	725.0	191.8	916.1
1784970326	4.2	0.6	4.9	723.9	192.2	915.5
1784970328	4.8	0.6	5.5	723.1	192.2	914.6
1784970330	5.4	0.6	6.0	722.3	192.2	913.9
1784970332	5.5	0.6	6.1	722.1	192.2	913.7
1784970334	5.6	0.6	6.2	722.1	192.2	913.6
1784970336	5.8	0.6	6.4	721.8	192.2	913.4
1784970338	6.0	0.6	6.6	721.7	192.2	913.2
1784970340	6.1	0.6	6.8	721.5	192.2	913.0
1784970342	6.3	0.6	6.9	721.3	192.2	912.8
1784970344	6.5	0.6	7.1	721.1	192.2	912.6
1784970346	6.9	0.6	7.5	720.5	192.2	912.0
1784970348	6.5	0.6	7.2	720.6	192.5	912.4
1784970350	4.1	0.6	4.7	722.4	192.6	914.4
1784970352	4.1	0.6	4.7	722.5	192.6	914.4
1784970354	4.1	0.6	4.7	722.6	192.6	914.5
1784970356	4.1	0.6	4.7	722.5	192.6	914.5
1784970358	4.1	0.6	4.7	722.5	192.6	914.4
1784970360	4.1	0.6	4.7	722.5	192.6	914.4
1784970362	4.1	0.6	4.7	722.4	192.6	914.4
1784970364	4.1	0.6	4.7	722.4	192.6	914.3
1784970366	4.1	0.6	4.7	722.3	192.6	914.3
1784970368	4.1	0.6	4.7	722.5	192.6	914.5
1784970370	4.1	0.6	4.7	722.7	192.6	914.7
1784970372	4.1	0.6	4.7	722.8	192.6	914.7
1784970374	4.1	0.6	4.7	722.8	192.6	914.7
1784970376	4.0	0.6	4.7	722.8	192.6	914.7
1784970378	4.1	0.6	4.7	722.9	192.6	914.8
1784970380	4.1	0.6	4.7	722.8	192.6	914.7
1784970382	4.1	0.6	4.7	722.8	192.6	914.7
1784970384	4.1	0.6	4.7	722.7	192.6	914.6
1784970386	4.1	0.6	4.7	722.9	192.6	914.8
1784970388	4.1	0.6	4.7	723.0	192.6	915.0
1784970390	4.0	0.6	4.7	723.0	192.6	914.9
1784970392	4.1	0.6	4.7	723.0	192.6	914.9
1784970394	4.1	0.6	4.7	723.1	192.6	915.0
1784970396	4.1	0.6	4.7	723.0	192.6	914.9
1784970398	4.1	0.6	4.7	722.9	192.6	914.8
1784970400	4.1	0.6	4.7	722.7	192.6	914.6
1784970402	4.1	0.6	4.7	722.8	192.6	914.8
1784970404	4.1	0.6	4.7	723.0	192.6	914.9
1784970406	4.1	0.6	4.7	723.1	192.6	915.0
1784970408	4.1	0.6	4.7	723.2	192.6	915.1
1784970410	4.1	0.6	4.7	723.2	192.6	915.1
1784970412	4.1	0.6	4.7	723.1	192.6	915.1
1784970414	4.1	0.6	4.7	723.3	192.6	915.2
1784970416	4.0	0.6	4.7	723.2	192.6	915.1
1784970418	4.1	0.6	4.7	723.1	192.6	915.1
1784970420	4.1	0.6	4.7	723.2	192.6	915.2
1784970422	4.2	0.6	4.8	723.1	192.6	915.1
1784970424	6.3	0.6	6.9	721.1	192.6	913.0
1784970426	8.3	0.6	9.0	719.1	192.6	911.1
1784970428	10.5	0.6	11.1	717.0	192.6	908.9
1784970430	12.6	0.6	13.2	715.1	192.6	907.0
1784970432	15.2	0.6	15.8	712.5	192.6	904.5
1784970434	17.5	0.6	18.2	710.2	192.6	902.1
1784970436	19.8	0.6	20.4	708.0	192.6	899.9
1784970438	22.4	0.6	23.0	705.2	192.6	897.2
1784970440	24.4	0.6	25.0	703.1	192.6	895.1
1784970442	26.6	0.6	27.2	701.1	192.6	893.0
1784970444	28.6	0.6	29.3	699.1	192.6	891.0
1784970446	30.7	0.6	31.3	697.0	192.6	888.9
1784970448	32.8	0.6	33.4	694.8	192.6	886.8
1784970450	34.9	0.6	35.6	692.7	192.6	884.6
1784970452	37.0	0.6	37.6	690.7	192.6	882.7
1784970454	39.6	0.6	40.2	688.2	192.6	880.2
1784970456	41.6	0.6	42.2	686.1	192.6	878.1
1784970458	44.2	0.6	44.8	683.5	192.6	875.4
1784970460	46.2	0.6	46.9	681.4	192.6	873.4
1784970462	48.4	0.6	49.0	679.2	192.6	871.2
1784970464	50.9	0.6	51.5	676.7	192.6	868.6
1784970466	52.9	0.6	53.5	674.7	192.6	866.7
1784970468	55.1	0.6	55.7	672.5	192.6	864.5
1784970470	57.1	0.6	57.8	670.5	192.6	862.4
1784970472	59.2	0.6	59.8	668.4	192.6	860.4
1784970474	61.2	0.6	61.9	666.4	192.6	858.3
1784970477	63.3	0.6	63.9	664.3	192.6	856.3
1784970479	65.3	0.6	65.9	662.3	192.6	854.2
1784970481	67.3	0.6	68.0	660.2	192.6	852.1
1784970483	69.5	0.6	70.2	658.0	192.6	849.9
1784970485	71.6	0.6	72.2	655.9	192.6	847.9
1784970487	73.6	0.6	74.2	653.9	192.6	845.8
1784970489	75.7	0.6	76.4	651.8	192.6	843.7
1784970491	78.2	0.6	78.9	649.4	192.6	841.3
1784970493	80.3	0.6	80.9	647.3	192.6	839.3
1784970495	82.3	0.6	82.9	645.3	192.6	837.2
1784970497	84.3	0.6	85.0	643.1	192.6	835.0
1784970499	86.4	0.6	87.0	641.0	192.6	833.0
1784970501	88.7	0.6	89.3	638.7	192.6	830.7
1784970503	91.0	0.6	91.6	636.5	192.6	828.4
1784970505	93.0	0.6	93.7	634.4	192.6	826.4
1784970507	95.1	0.6	95.7	632.3	192.6	824.3
1784970509	97.1	0.6	97.7	630.3	192.6	822.3
1784970511	99.1	0.6	99.8	628.3	192.6	820.3
1784970513	101.2	0.6	101.8	626.4	192.6	818.3
1784970515	103.2	0.6	103.8	624.4	192.6	816.4
1784970517	105.3	0.6	105.9	622.3	192.6	814.2
1784970519	107.3	0.6	107.9	620.3	192.6	812.3
1784970521	109.3	0.6	109.9	618.3	192.6	810.3
1784970523	111.3	0.6	112.0	616.4	192.6	808.3
1784970525	113.4	0.6	114.0	614.3	192.6	806.3
1784970527	115.4	0.6	116.0	612.3	192.6	804.3
1784970529	117.5	0.6	118.1	610.3	192.6	802.3
1784970531	119.5	0.6	120.1	608.3	192.6	800.2
1784970533	121.5	0.6	122.1	606.2	192.6	798.1
1784970535	123.6	0.6	124.2	604.1	192.6	796.0
1784970537	125.6	0.6	126.2	602.0	192.6	793.9
1784970539	127.6	0.6	128.3	600.0	192.6	792.0
1784970541	129.6	0.6	130.3	598.0	192.6	790.0
1784970543	131.7	0.6	132.3	596.0	192.6	787.9
1784970545	133.7	0.6	134.3	594.0	192.6	786.0
1784970547	135.6	0.6	136.3	592.1	192.6	784.1
1784970549	137.3	0.6	137.9	590.4	192.6	782.3
1784970551	139.3	0.6	139.9	588.4	192.6	780.4
1784970553	141.3	0.6	141.9	586.3	192.6	778.3
1784970555	143.3	0.6	144.0	584.4	192.6	776.3
1784970557	145.4	0.6	146.0	582.3	192.6	774.2
1784970559	147.3	0.6	147.9	580.3	192.6	772.2
1784970561	148.9	0.6	149.5	578.6	192.6	770.5
1784970563	150.9	0.6	151.5	576.7	192.6	768.7
1784970565	153.0	0.6	153.6	574.7	192.6	766.6
1784970567	155.0	0.6	155.6	572.7	192.6	764.6
1784970569	157.0	0.6	157.6	570.6	192.6	762.5
1784970571	158.9	0.6	159.5	568.6	192.6	760.6
1784970573	160.9	0.6	161.5	566.6	192.6	758.6
1784970575	163.0	0.6	163.6	564.8	192.6	756.7
1784970577	165.0	0.6	165.6	562.9	192.6	754.8
1784970579	167.0	0.6	167.6	560.9	192.6	752.9
1784970581	169.0	0.6	169.7	558.9	192.6	750.8
1784970583	171.1	0.6	171.7	556.9	192.6	748.8
1784970585	173.1	0.6	173.7	554.9	192.6	746.8
1784970587	175.1	0.6	175.8	552.8	192.6	744.7
1784970589	177.2	0.6	177.8	550.6	192.6	742.6
1784970591	179.2	0.6	179.8	548.6	192.6	740.5
1784970593	181.2	0.6	181.9	546.5	192.6	738.4
1784970595	183.1	0.6	183.7	544.6	192.6	736.5
1784970597	185.8	0.6	186.4	541.8	192.6	733.7
1784970599	185.8	5.5	191.3	537.8	197.5	729.7
1784970601	191.6	8.9	200.5	529.9	200.9	721.8
1784970603	194.7	8.9	203.6	527.3	200.9	719.2
1784970605	210.2	8.9	219.1	511.5	200.9	703.5
1784970607	225.6	8.9	234.5	495.8	200.9	687.7
1784970609	236.9	8.9	245.8	484.2	200.9	676.2
1784970611	249.3	8.9	258.2	471.6	200.9	663.5
1784970613	260.7	8.9	269.7	460.0	200.9	651.9
1784970615	271.7	8.9	280.7	448.7	200.9	640.7
1784970617	282.7	8.9	291.6	437.7	200.9	629.6
1784970619	293.7	8.9	302.6	426.6	200.9	618.6
1784970621	304.7	8.9	313.6	415.7	200.9	607.6
1784970623	315.7	8.9	324.6	404.5	200.9	596.4
1784970625	326.6	8.9	335.6	393.6	200.9	585.5
1784970627	339.0	8.9	347.9	381.3	200.9	573.2
1784970629	349.5	8.9	358.4	370.7	200.9	562.6
1784970631	360.6	8.9	369.6	359.2	200.9	551.2
1784970633	371.7	8.9	380.7	348.1	200.9	540.1
1784970635	382.9	8.9	391.8	337.0	200.9	529.0
1784970637	386.0	8.9	395.0	333.9	200.9	525.8
1784970639	386.0	8.9	394.9	333.3	200.9	525.2
1784970641	386.1	8.9	395.0	333.3	200.9	525.2
1784970643	386.0	8.9	394.9	333.3	200.9	525.2
1784970645	386.3	8.9	395.2	333.3	200.9	525.3
1784970647	386.3	8.9	395.2	333.4	200.9	525.3
1784970649	386.4	8.9	395.3	333.3	200.9	525.2
1784970651	386.4	8.9	395.3	333.2	200.9	525.1
1784970653	386.4	8.9	395.4	333.1	200.9	525.1
1784970655	386.5	8.9	395.4	333.0	200.9	525.0
1784970657	386.5	8.9	395.5	333.1	200.9	525.0
1784970659	386.6	8.9	395.5	333.1	200.9	525.0
1784970661	386.7	8.9	395.6	333.1	200.9	525.0
1784970663	386.7	8.9	395.6	333.0	200.9	524.9
1784970665	386.7	8.9	395.7	332.8	200.9	524.7
1784970667	386.8	8.9	395.7	332.8	200.9	524.7
1784970669	386.8	8.9	395.8	332.7	200.9	524.6
1784970671	386.9	8.9	395.8	332.7	200.9	524.7
1784970673	386.9	8.9	395.9	332.7	200.9	524.7
1784970675	387.0	8.9	395.9	332.7	200.9	524.7
1784970677	387.0	8.9	396.0	332.7	200.9	524.7
1784970679	387.1	8.9	396.0	332.6	200.9	524.6
1784970681	387.1	8.9	396.1	332.6	200.9	524.6
1784970683	387.2	8.9	396.1	332.6	200.9	524.5
1784970685	387.2	8.9	396.2	332.5	200.9	524.5
1784970687	387.3	8.9	396.2	332.5	200.9	524.5
1784970689	387.3	8.9	396.3	332.6	200.9	524.5
1784970691	387.4	8.9	396.3	332.4	200.9	524.4
1784970693	387.4	8.9	396.4	332.4	200.9	524.3
1784970695	387.5	8.9	396.4	332.3	200.9	524.2
1784970697	387.5	8.9	396.5	332.4	200.9	524.4
