#epoch	anon	shmem	unevict	memfree	file	avail
1784972869	3.2	0.5	3.7	730.1	195.0	924.6
1784972871	3.3	0.5	3.8	730.1	195.0	924.6
1784972873	3.3	0.5	3.8	730.1	195.0	924.6
1784972875	3.6	0.5	4.1	729.9	195.0	924.4
1784972877	3.8	0.5	4.3	729.8	195.0	924.2
1784972879	4.4	0.5	4.9	729.2	195.0	923.6
1784972881	5.5	0.5	6.0	729.0	195.0	923.4
1784972883	5.7	0.5	6.2	728.9	195.0	923.4
1784972885	5.8	0.5	6.3	728.9	195.0	923.3
1784972887	5.9	0.5	6.4	728.8	195.0	923.3
1784972889	5.9	0.5	6.4	728.8	195.0	923.3
1784972891	5.9	0.5	6.5	728.8	195.0	923.2
1784972893	6.0	0.5	6.5	728.8	195.0	923.2
1784972895	6.0	0.5	6.5	728.8	195.0	923.2
1784972897	6.0	0.5	6.5	728.8	195.0	923.2
1784972899	6.0	0.5	6.6	728.8	195.0	923.2
1784972901	9.3	0.5	9.8	727.0	195.0	921.5
1784972903	9.5	0.5	10.0	726.9	195.0	921.3
1784972905	11.0	0.5	11.6	725.8	195.0	920.3
1784972907	11.3	0.5	11.9	725.6	195.0	920.1
1784972909	12.0	0.5	12.6	725.0	195.0	919.4
1784972911	12.1	0.5	12.7	724.8	195.0	919.3
1784972913	12.4	0.5	12.9	724.5	195.0	918.9
1784972915	12.7	0.5	13.2	724.4	195.0	918.8
1784972917	12.5	0.5	13.0	724.3	195.0	918.8
1784972919	13.0	0.5	13.5	724.1	195.0	918.5
1784972921	12.8	0.5	13.4	724.1	195.0	918.5
1784972923	13.1	0.5	13.6	724.0	195.0	918.4
1784972925	13.0	0.5	13.5	724.1	195.0	918.5
1784972927	13.5	0.5	14.0	723.7	195.0	918.2
1784972929	13.2	0.5	13.8	723.6	195.0	918.0
1784972931	13.8	0.5	14.3	723.2	195.0	917.6
1784972933	14.0	0.5	14.5	723.0	195.0	917.5
1784972935	12.5	0.5	13.0	724.2	195.0	918.6
1784972937	12.4	0.5	13.0	724.2	195.0	918.6
1784972939	12.4	0.5	13.0	724.3	194.8	918.5
1784972941	3.4	0.5	3.9	733.3	195.0	927.8
1784972943	3.5	0.5	4.0	733.3	195.0	927.7
1784972945	3.5	0.5	4.0	733.0	195.0	927.5
1784972947	3.6	0.5	4.1	732.8	195.0	927.2
1784972949	3.7	0.5	4.3	732.4	195.0	926.8
1784972951	4.1	0.6	4.7	731.7	195.2	926.3
1784972953	4.4	0.6	5.0	730.8	195.4	925.6
1784972955	5.0	0.6	5.6	730.0	195.4	924.8
1784972957	5.4	0.6	6.0	729.3	195.4	924.1
1784972959	5.5	0.6	6.1	728.9	195.4	923.7
1784972961	5.7	0.6	6.3	728.4	195.4	923.2
1784972963	5.9	0.6	6.5	728.0	195.4	922.8
1784972965	6.0	0.6	6.7	727.7	195.4	922.5
1784972967	6.2	0.6	6.8	727.6	195.4	922.4
1784972969	6.4	0.6	7.0	727.3	195.4	922.1
1784972971	6.8	0.6	7.4	727.0	195.4	921.8
1784972973	6.7	0.6	7.3	726.7	195.6	921.7
1784972975	6.5	0.6	7.2	726.6	195.7	921.7
1784972977	4.1	0.6	4.7	728.4	195.8	923.7
1784972979	4.1	0.6	4.7	728.6	195.8	923.8
1784972981	4.1	0.6	4.7	728.7	195.8	924.0
1784972983	4.1	0.6	4.7	728.7	195.8	923.9
1784972985	4.1	0.6	4.7	728.6	195.8	923.8
1784972987	4.1	0.6	4.7	728.7	195.8	923.9
1784972989	4.1	0.6	4.7	728.7	195.8	923.9
1784972991	4.1	0.6	4.7	728.6	195.8	923.8
1784972993	4.1	0.6	4.7	728.6	195.8	923.8
1784972995	4.1	0.6	4.7	728.7	195.8	923.9
1784972997	4.1	0.6	4.7	728.6	195.8	923.8
1784972999	4.1	0.6	4.7	728.5	195.8	923.7
1784973001	4.1	0.6	4.7	728.6	195.8	923.8
1784973003	4.1	0.6	4.7	728.5	195.8	923.7
1784973005	4.1	0.6	4.7	728.5	195.8	923.7
1784973007	4.1	0.6	4.7	728.5	195.8	923.7
1784973009	4.1	0.6	4.7	728.4	195.8	923.6
1784973011	4.1	0.6	4.7	728.5	195.8	923.7
1784973013	4.1	0.6	4.7	728.5	195.8	923.7
1784973015	4.1	0.6	4.7	728.7	195.8	923.9
1784973017	4.1	0.6	4.7	728.6	195.8	923.8
1784973019	4.1	0.6	4.7	728.5	195.8	923.7
1784973021	4.1	0.6	4.7	728.5	195.8	923.7
1784973023	4.1	0.6	4.7	728.4	195.8	923.6
1784973025	4.1	0.6	4.7	728.5	195.8	923.7
1784973027	4.1	0.6	4.7	728.5	195.8	923.7
1784973029	4.1	0.6	4.7	728.5	195.8	923.7
1784973031	4.1	0.6	4.7	728.4	195.8	923.6
1784973033	4.1	0.6	4.7	728.3	195.8	923.5
1784973035	4.1	0.6	4.7	728.3	195.8	923.5
1784973037	4.1	0.6	4.7	728.2	195.8	923.5
1784973039	4.1	0.6	4.7	728.5	195.8	923.7
1784973041	4.1	0.6	4.7	728.5	195.8	923.7
1784973043	4.1	0.6	4.7	728.4	195.8	923.6
1784973045	4.1	0.6	4.7	728.2	195.8	923.4
1784973047	4.1	0.6	4.7	728.2	195.8	923.4
1784973049	4.2	0.6	4.9	728.3	195.8	923.5
1784973051	6.3	0.6	6.9	726.4	195.8	921.6
1784973053	8.4	0.6	9.0	724.3	195.8	919.5
1784973055	10.5	0.6	11.1	722.2	195.8	917.4
1784973057	12.6	0.6	13.2	720.1	195.8	915.3
1784973059	15.2	0.6	15.8	717.6	195.8	912.8
1784973061	17.2	0.6	17.8	715.5	195.8	910.7
1784973063	19.5	0.6	20.1	713.3	195.8	908.5
1784973065	21.8	0.6	22.5	710.9	195.8	906.1
1784973067	23.9	0.6	24.5	708.9	195.8	904.1
1784973069	25.9	0.6	26.5	706.7	195.8	901.9
1784973071	28.5	0.6	29.1	704.2	195.8	899.4
1784973073	30.5	0.6	31.2	702.2	195.8	897.4
1784973075	32.6	0.6	33.2	700.1	195.8	895.3
1784973077	34.8	0.6	35.4	697.9	195.8	893.1
1784973079	36.8	0.6	37.4	695.8	195.8	891.0
1784973081	38.9	0.6	39.5	693.8	195.8	889.0
1784973083	40.9	0.6	41.5	691.6	195.8	886.8
1784973085	42.9	0.6	43.6	689.5	195.8	884.7
1784973087	45.0	0.6	45.6	687.5	195.8	882.7
1784973089	47.0	0.6	47.6	685.5	195.8	880.7
1784973091	49.0	0.6	49.7	683.4	195.8	878.6
1784973093	51.1	0.6	51.7	681.4	195.8	876.6
1784973095	53.1	0.6	53.7	679.3	195.8	874.5
1784973097	55.2	0.6	55.8	677.2	195.8	872.4
1784973099	57.2	0.6	57.9	675.1	195.8	870.3
1784973101	59.4	0.6	60.0	672.9	195.8	868.1
1784973103	61.4	0.6	62.1	670.9	195.8	866.1
1784973106	63.5	0.6	64.1	668.9	195.8	864.1
1784973108	65.5	0.6	66.1	666.9	195.8	862.1
1784973110	67.5	0.6	68.2	664.8	195.8	860.0
1784973112	69.6	0.6	70.2	662.9	195.8	858.1
1784973114	71.6	0.6	72.2	660.8	195.8	856.0
1784973116	73.6	0.6	74.2	658.7	195.8	854.0
1784973118	75.7	0.6	76.3	656.7	195.8	851.9
1784973120	77.7	0.6	78.3	654.7	195.8	849.9
1784973122	79.7	0.6	80.4	652.6	195.8	847.9
1784973124	81.8	0.6	82.4	650.6	195.8	845.8
1784973126	83.8	0.6	84.4	648.5	195.8	843.7
1784973128	85.7	0.6	86.3	646.6	195.8	841.9
1784973130	87.7	0.6	88.3	644.7	195.8	839.9
1784973132	89.7	0.6	90.4	642.6	195.8	837.8
1784973134	91.8	0.6	92.4	640.6	195.8	835.8
1784973136	93.8	0.6	94.4	638.7	195.8	833.9
1784973138	95.8	0.6	96.5	636.6	195.8	831.8
1784973140	97.9	0.6	98.5	634.5	195.8	829.7
1784973142	99.9	0.6	100.5	632.4	195.8	827.6
1784973144	101.9	0.6	102.6	630.3	195.8	825.5
1784973146	103.9	0.6	104.6	628.3	195.8	823.5
1784973148	106.0	0.6	106.6	626.2	195.8	821.4
1784973150	108.0	0.6	108.6	624.2	195.8	819.4
1784973152	109.9	0.6	110.5	622.3	195.8	817.5
1784973154	111.9	0.6	112.6	620.2	195.8	815.4
1784973156	114.0	0.6	114.6	618.2	195.8	813.4
1784973158	115.6	0.6	116.2	616.5	195.8	811.7
1784973160	117.5	0.6	118.1	614.5	195.8	809.7
1784973162	119.5	0.6	120.1	612.4	195.8	807.6
1784973164	121.0	0.6	121.6	610.9	195.8	806.1
1784973166	123.0	0.6	123.7	608.8	195.8	804.0
1784973168	125.0	0.6	125.7	606.7	195.8	802.0
1784973170	126.5	0.6	127.1	605.4	195.8	800.6
1784973172	128.6	0.6	129.2	603.3	195.8	798.5
1784973174	130.4	0.6	131.1	601.5	195.8	796.7
1784973176	132.5	0.6	133.1	599.5	195.8	794.7
1784973178	134.5	0.6	135.1	597.5	195.8	792.7
1784973180	136.5	0.6	137.1	595.5	195.8	790.7
1784973182	138.5	0.6	139.2	593.4	195.8	788.6
1784973184	140.4	0.6	141.0	591.5	195.8	786.7
1784973186	142.5	0.6	143.1	589.4	195.8	784.6
1784973188	143.9	0.6	144.5	588.0	195.8	783.2
1784973190	146.0	0.6	146.6	586.0	195.8	781.2
1784973192	147.4	0.6	148.1	584.6	195.8	779.8
1784973194	149.5	0.6	150.1	582.6	195.8	777.8
1784973196	151.2	0.6	151.8	580.8	195.8	776.0
1784973198	153.0	0.6	153.6	579.0	195.8	774.2
1784973200	154.9	0.6	155.5	577.2	195.8	772.4
1784973202	156.9	0.6	157.5	575.2	195.8	770.4
1784973204	158.9	0.6	159.5	573.2	195.8	768.4
1784973206	160.9	0.6	161.5	571.2	195.8	766.4
1784973208	162.9	0.6	163.6	569.1	195.8	764.3
1784973210	164.8	0.6	165.4	567.1	195.8	762.3
1784973212	166.9	0.6	167.5	565.0	195.8	760.3
1784973214	168.3	0.6	169.0	563.5	195.8	758.7
1784973216	170.4	0.6	171.0	561.5	195.8	756.7
1784973218	171.9	0.6	172.5	560.0	195.8	755.2
1784973220	173.9	0.6	174.5	557.9	195.8	753.1
1784973222	175.6	0.6	176.2	556.2	195.8	751.4
1784973224	177.4	0.6	178.0	554.4	195.8	749.6
1784973226	179.3	0.6	179.9	552.4	195.8	747.6
1784973228	181.3	0.6	181.9	550.5	195.8	745.7
1784973230	185.7	0.6	186.4	545.9	195.8	741.1
1784973232	185.8	0.6	186.4	545.9	195.8	741.1
1784973234	187.5	5.8	193.3	539.9	201.0	735.1
1784973236	191.7	8.9	200.6	534.0	204.1	729.2
1784973238	192.6	8.9	201.6	533.8	204.2	729.0
1784973240	192.6	8.9	201.6	533.4	204.2	728.6
1784973242	192.6	8.9	201.6	533.2	204.2	728.4
1784973244	192.6	8.9	201.6	532.9	204.2	728.2
1784973246	192.6	8.9	201.6	532.7	204.2	727.9
1784973248	192.7	8.9	201.6	532.4	204.2	727.6
1784973250	192.6	8.9	201.6	532.2	204.2	727.4
1784973252	192.6	8.9	201.6	531.9	204.2	727.1
1784973254	196.5	8.9	205.4	527.8	204.2	723.0
1784973256	208.0	8.9	217.0	516.0	204.2	711.2
1784973258	219.0	8.9	228.0	504.9	204.2	700.1
1784973260	230.0	8.9	239.0	493.7	204.2	688.9
1784973262	241.0	8.9	249.9	482.6	204.2	677.8
1784973264	252.0	8.9	260.9	471.6	204.2	666.8
1784973266	263.6	8.9	272.5	460.0	204.2	655.2
1784973268	276.1	8.9	285.1	447.5	204.2	642.7
1784973270	282.8	8.9	291.7	440.8	204.2	636.0
1784973272	282.8	8.9	291.8	440.8	204.2	636.0
1784973274	282.9	8.9	291.9	440.6	204.2	635.8
1784973276	283.0	8.9	291.9	440.5	204.2	635.7
1784973278	283.0	8.9	291.9	440.3	204.2	635.5
1784973280	283.1	8.9	292.0	440.2	204.2	635.5
1784973282	283.1	8.9	292.1	440.2	204.2	635.4
1784973284	283.2	8.9	292.1	440.1	204.2	635.3
1784973286	283.2	8.9	292.2	440.1	204.2	635.3
1784973288	283.3	8.9	292.2	440.0	204.2	635.2
1784973290	283.3	8.9	292.3	439.9	204.2	635.1
1784973292	283.3	8.9	292.3	439.9	204.2	635.1
1784973294	283.4	8.9	292.4	439.8	204.2	635.0
1784973296	283.5	8.9	292.4	439.8	204.2	635.0
1784973298	283.5	8.9	292.5	439.6	204.2	634.8
1784973300	283.6	8.9	292.5	439.6	204.2	634.8
1784973302	283.6	8.9	292.5	439.6	204.2	634.8
1784973304	283.6	8.9	292.6	439.6	204.2	634.8
1784973306	283.7	8.9	292.7	439.5	204.2	634.7
1784973308	283.8	8.9	292.7	439.3	204.2	634.5
1784973310	283.8	8.9	292.8	439.3	204.2	634.5
1784973312	283.9	8.9	292.8	439.2	204.2	634.4
1784973314	283.9	8.9	292.9	439.2	204.2	634.4
1784973316	283.9	8.9	292.9	439.1	204.2	634.3
1784973318	284.0	8.9	292.9	439.1	204.2	634.3
1784973320	284.0	8.9	293.0	439.0	204.2	634.2
1784973322	284.1	8.9	293.0	438.9	204.2	634.1
1784973324	284.2	8.9	293.1	438.9	204.2	634.1
1784973326	284.2	8.9	293.1	438.8	204.2	634.0
1784973328	284.2	8.9	293.2	438.7	204.2	633.9
1784973330	284.3	8.9	293.2	438.7	204.2	633.9
1784973332	284.3	8.9	293.3	438.6	204.2	633.8
1784973334	284.4	8.9	293.3	438.6	204.2	633.8
1784973336	284.4	8.9	293.4	438.6	204.2	633.8
1784973338	284.5	8.9	293.4	438.5	204.2	633.7
1784973340	284.6	8.9	293.5	438.4	204.2	633.6
