#epoch	anon	shmem	unevict	memfree	file	avail
1784977369	3.2	0.5	3.7	784.5	137.2	921.2
1784977371	3.3	0.5	3.8	784.0	137.3	920.7
1784977373	3.3	0.5	3.8	784.4	137.3	921.1
1784977375	3.6	0.5	4.1	783.9	137.3	920.6
1784977377	3.8	0.5	4.3	784.0	137.3	920.8
1784977379	4.4	0.5	4.9	783.5	137.3	920.3
1784977381	5.5	0.5	6.0	783.3	137.3	920.1
1784977383	5.7	0.5	6.3	783.2	137.3	920.0
1784977385	5.8	0.5	6.3	783.2	137.3	920.0
1784977388	5.9	0.5	6.4	783.2	137.3	920.0
1784977390	5.9	0.5	6.4	783.2	137.3	919.9
1784977392	5.9	0.5	6.5	783.1	137.3	919.9
1784977394	6.0	0.5	6.5	783.1	137.3	919.9
1784977396	6.0	0.5	6.5	783.1	137.3	919.9
1784977398	6.0	0.5	6.6	783.1	137.3	919.8
1784977400	6.0	0.5	6.6	783.1	137.3	919.8
1784977402	9.1	0.5	9.6	781.4	137.3	918.2
1784977404	9.7	0.5	10.2	781.1	137.3	917.8
1784977406	10.8	0.5	11.3	780.2	137.3	917.0
1784977408	11.1	0.5	11.6	780.1	137.3	916.9
1784977410	11.3	0.5	11.9	779.7	137.3	916.5
1784977412	11.8	0.5	12.4	779.3	137.3	916.1
1784977414	12.0	0.5	12.5	779.5	137.3	916.2
1784977416	12.6	0.5	13.1	779.1	137.3	915.9
1784977418	12.6	0.5	13.1	778.8	137.3	915.6
1784977420	13.2	0.5	13.7	778.5	137.3	915.3
1784977422	13.6	0.5	14.2	778.4	137.3	915.1
1784977424	13.2	0.5	13.7	778.7	137.3	915.4
1784977426	13.4	0.5	13.9	778.6	137.3	915.3
1784977428	13.6	0.5	14.1	778.6	137.3	915.3
1784977430	13.7	0.5	14.2	778.5	137.3	915.2
1784977432	13.9	0.5	14.4	778.3	137.3	915.0
1784977434	13.9	0.5	14.5	778.2	137.3	915.0
1784977436	13.7	0.5	14.2	778.5	137.3	915.3
1784977438	12.6	0.5	13.1	779.5	137.3	916.3
1784977440	12.6	0.5	13.1	779.5	137.4	916.4
1784977442	12.5	0.5	13.0	779.3	137.5	916.3
