#epoch	anon	shmem	unevict	memfree	file	avail
1784983331	3.2	0.5	3.7	668.6	258.1	926.1
1784983333	3.3	0.5	3.8	668.6	258.1	926.1
1784983335	3.3	0.5	3.8	668.6	258.1	926.1
1784983337	3.6	0.5	4.1	668.4	258.1	925.9
1784983339	3.8	0.5	4.3	668.2	258.1	925.7
1784983341	4.4	0.5	4.9	667.7	258.1	925.3
1784983343	5.6	0.5	6.2	667.5	258.1	925.1
1784983345	5.7	0.5	6.3	667.5	258.1	925.0
1784983347	5.8	0.5	6.3	667.4	258.1	925.0
1784983349	5.9	0.5	6.4	667.4	258.1	925.0
1784983351	5.9	0.5	6.5	667.4	258.1	924.9
1784983353	6.0	0.5	6.5	667.4	258.1	924.9
1784983355	6.0	0.5	6.5	667.3	258.1	924.9
1784983357	6.0	0.5	6.6	667.3	258.1	924.9
1784983359	6.0	0.5	6.6	667.3	258.1	924.9
1784983361	7.2	0.5	7.7	666.9	258.1	924.4
1784983363	8.5	0.5	9.0	666.3	258.1	923.9
1784983365	9.3	0.5	9.8	665.9	258.1	923.4
1784983367	9.7	0.5	10.2	665.6	258.1	923.1
1784983369	10.0	0.5	10.6	665.3	258.1	922.8
1784983371	10.3	0.5	10.8	665.2	258.1	922.7
1784983373	10.5	0.5	11.0	665.1	258.1	922.6
1784983375	10.6	0.5	11.1	664.9	258.1	922.5
1784983377	10.4	0.5	10.9	665.1	258.1	922.7
1784983379	10.4	0.5	10.9	665.0	258.2	922.7
1784983381	3.4	0.5	4.0	671.8	258.2	929.4
1784983383	3.5	0.5	4.0	671.4	258.2	929.1
1784983385	3.6	0.5	4.1	671.0	258.2	928.6
1784983387	3.7	0.5	4.2	670.4	258.2	928.1
1784983389	3.9	0.6	4.5	669.6	258.3	927.3
1784983391	4.2	0.6	4.8	668.2	258.5	926.1
1784983393	4.8	0.6	5.5	667.3	258.5	925.2
1784983395	5.5	0.6	6.1	666.3	258.5	924.2
1784983397	5.6	0.6	6.2	665.8	258.5	923.7
1784983399	5.7	0.6	6.3	665.4	258.5	923.3
1784983401	5.9	0.6	6.6	664.7	258.5	922.6
1784983403	6.2	0.6	6.8	663.8	258.7	921.8
1784983405	4.2	0.6	4.9	664.9	258.7	923.0
