ts,iso,node0_gib,node1_gib,node2_gib,node10_gib,node18_gib,node26_gib,gpu0_mib,gpu1_mib,gpu2_mib,gpu3_mib
1783724353,2026-07-10T15:59:13-07:00,71.6,55.4,2.7,0.2,0.0,1.1,2751,194,0,1082
1783724368,2026-07-10T15:59:28-07:00,72.6,55.4,2.7,0.2,0.0,1.1,2751,194,0,1082
1783724383,2026-07-10T15:59:43-07:00,72.6,55.4,2.7,0.2,0.0,1.1,2751,194,0,1082
1783724398,2026-07-10T15:59:58-07:00,72.6,55.4,2.7,0.2,0.0,1.1,2751,194,0,1082
1783724413,2026-07-10T16:00:13-07:00,72.6,55.4,2.7,0.2,0.0,1.1,2751,194,0,1082
1783724428,2026-07-10T16:00:28-07:00,72.6,55.4,2.7,0.2,0.0,1.1,2751,194,0,1082
1783724443,2026-07-10T16:00:43-07:00,72.6,55.4,2.7,0.2,0.0,1.1,2751,194,0,1082
1783724458,2026-07-10T16:00:58-07:00,72.6,55.4,2.7,0.2,0.0,1.1,2751,194,0,1082
1783724473,2026-07-10T16:01:13-07:00,72.5,55.4,2.7,0.2,0.0,1.1,2751,194,8,1083
1783724488,2026-07-10T16:01:28-07:00,75.3,55.4,2.7,0.2,0.7,1.1,2751,194,697,1082
1783724503,2026-07-10T16:01:43-07:00,99.6,58.1,2.7,0.2,1.1,1.1,2751,194,1150,1082
1783724518,2026-07-10T16:01:58-07:00,126.8,58.5,2.7,0.2,1.5,1.1,2751,194,1511,1082
1783724533,2026-07-10T16:02:13-07:00,128.3,58.6,2.7,0.2,1.5,1.1,2751,194,1510,1082
1783724549,2026-07-10T16:02:29-07:00,128.9,58.6,2.7,0.2,1.5,1.1,2751,194,1509,1082
1783724564,2026-07-10T16:02:44-07:00,128.9,58.6,2.7,0.2,1.5,1.1,2751,194,1509,1082
1783724579,2026-07-10T16:02:59-07:00,128.9,58.6,2.7,0.2,1.5,1.1,2750,194,1509,1082
1783724594,2026-07-10T16:03:14-07:00,129.2,58.6,2.7,0.2,1.5,1.1,2750,194,1509,1082
1783724609,2026-07-10T16:03:29-07:00,133.9,58.7,2.7,0.2,1.5,1.1,2750,194,1509,1082
1783724624,2026-07-10T16:03:44-07:00,138.8,58.7,2.7,0.2,1.5,1.1,2750,194,1509,1082
1783724639,2026-07-10T16:03:59-07:00,143.7,58.9,2.7,0.2,1.5,1.1,2750,194,1509,1082
1783724654,2026-07-10T16:04:14-07:00,155.7,60.1,2.7,0.2,3.2,1.1,2750,194,3238,1082
1783724669,2026-07-10T16:04:29-07:00,183.5,62.6,2.7,0.2,146.7,1.1,2750,194,150172,1082
1783724684,2026-07-10T16:04:44-07:00,237.2,65.0,2.7,0.2,151.8,1.1,2750,194,155491,1082
1783724699,2026-07-10T16:04:59-07:00,285.1,65.3,2.7,0.2,157.0,1.1,2750,194,160811,1082
1783724714,2026-07-10T16:05:14-07:00,340.7,65.6,2.7,0.2,162.2,1.1,2750,194,166111,1082
1783724729,2026-07-10T16:05:29-07:00,388.8,65.7,2.7,0.2,162.2,1.1,2750,194,166111,1082
1783724744,2026-07-10T16:05:44-07:00,436.7,65.6,2.7,0.2,167.4,1.1,2750,194,171431,1082
1783724759,2026-07-10T16:05:59-07:00,467.1,91.0,2.7,0.2,172.6,1.1,2750,194,176731,1082
1783724774,2026-07-10T16:06:14-07:00,467.1,147.1,2.7,0.2,177.8,1.1,2750,194,182051,1082
1783724789,2026-07-10T16:06:29-07:00,467.1,195.9,2.7,0.2,183.0,1.1,2750,194,187371,1082
1783724804,2026-07-10T16:06:44-07:00,467.1,244.8,2.7,0.2,183.0,1.1,2750,194,187435,1082
1783724819,2026-07-10T16:06:59-07:00,467.1,369.8,2.7,0.2,183.0,1.1,2750,194,187443,1082
1783724835,2026-07-10T16:07:15-07:00,469.1,469.3,2.7,0.2,183.1,1.1,2784,194,187513,1177
1783724850,2026-07-10T16:07:30-07:00,457.4,467.1,2.8,0.2,183.1,1.1,2857,194,187513,1084
1783724865,2026-07-10T16:07:45-07:00,460.9,466.1,2.8,0.2,176.7,1.1,2912,194,180979,1084
1783724880,2026-07-10T16:08:00-07:00,465.7,465.4,2.9,0.2,136.3,1.1,2987,194,139585,1085
1783724895,2026-07-10T16:08:15-07:00,466.6,468.5,2.8,0.2,181.3,1.1,2901,194,188175,1084
