epoch,cpu_total_avail_gib,node0_avail_gib,node1_avail_gib
1783478857,765,299,466
1783478877,703,240,462
1783478897,627,165,461
1783478917,553,90,462
1783478937,479,82,397
1783478957,429,82,347
1783478977,322,82,240
1783478998,306,82,224
1783479018,306,82,224
1783479038,307,82,224
1783479058,307,82,224
1783479078,307,82,224
1783479098,307,82,224
1783479118,307,82,224
1783479138,307,82,224
1783479158,307,82,224
1783479178,307,82,224
1783479198,307,82,224
1783479218,307,82,224
1783479238,307,82,224
1783479258,307,82,225
1783479278,307,82,224
1783479298,307,82,224
1783479318,307,82,224
1783479338,307,82,224
1783479358,307,82,224
1783479378,307,82,224
1783479398,307,82,224
1783479418,307,82,224
1783479438,307,82,224
1783479458,304,82,221
1783479478,301,82,219
1783479498,300,82,218
1783479518,300,82,218
1783479539,300,82,217
1783479559,300,82,217
1783479579,300,82,217
1783479599,299,82,217
1783479619,299,82,217
1783479639,299,82,216
1783479659,299,82,216
1783479679,300,82,217
1783479699,299,82,217
1783479719,299,82,216
1783479739,299,82,216
1783479759,299,82,217
1783479779,299,82,217
1783479799,299,82,216
1783479819,299,82,216
1783479839,299,82,216
1783479859,299,82,216
1783479879,298,82,216
1783479899,298,82,216
1783479919,298,82,216
1783479939,298,82,216
1783479959,298,82,216
1783479979,298,82,216
1783479999,298,82,216
1783480020,919,459,459
1783480040,918,458,459
1783480060,918,458,459
1783480080,918,458,459
1783480100,918,458,459
1783480120,915,455,459
1783480140,837,378,459
1783480160,794,336,458
1783480180,794,336,457
1783480200,793,335,457
1783480220,786,328,457
1783480240,779,321,457
1783480260,773,315,457
1783480280,748,289,459
1783480300,601,141,459
1783480320,471,83,388
1783480340,343,83,259
1783480360,211,83,127
1783480380,146,72,73
1783480400,38,15,22
1783480420,938,467,471
1783480440,937,466,471
1783480460,937,466,471
1783480480,937,466,471
1783480500,937,465,471
1783480520,929,462,466
1783480541,873,406,467
1783480561,811,344,467
1783480581,808,341,467
1783480601,807,340,467
1783480621,804,337,466
1783480641,797,331,465
1783480661,789,324,465
1783480681,766,302,464
1783480701,766,302,464
1783480721,769,304,465
1783480741,926,460,466
1783480761,926,460,466
1783480781,926,460,466
1783480801,926,460,466
1783480821,926,460,466
1783480841,903,437,466
1783480861,804,339,465
1783480881,804,338,465
1783480901,804,338,465
1783480921,803,338,465
1783480941,797,331,465
1783480961,789,324,465
1783480981,782,317,465
1783481001,709,244,465
1783481021,598,132,465
1783481041,483,76,407
1783481061,363,76,287
1783481082,247,76,171
1783481102,152,73,78
1783481122,43,13,29
1783481142,939,467,472
1783481162,939,467,471
1783481182,938,466,471
1783481202,938,466,471
1783481222,938,466,471
1783481242,934,463,471
1783481262,906,436,470
1783481282,814,343,470
1783481302,810,340,470
1783481322,810,340,470
1783481342,809,338,470
1783481362,803,333,470
1783481382,796,327,469
1783481402,789,320,468
1783481422,719,254,464
1783481442,646,183,462
1783481462,581,119,461
1783481482,545,83,462
1783481502,926,462,464
1783481522,926,461,464
1783481542,926,461,464
1783481562,926,461,464
1783481582,926,461,464
1783481603,918,453,464
1783481623,820,355,464
1783481643,804,340,463
1783481663,804,340,464
1783481683,801,337,464
1783481703,794,330,464
1783481723,787,323,464
1783481743,779,314,464
1783481763,694,229,465
1783481783,591,125,465
1783481803,491,80,411
1783481823,386,80,306
1783481843,287,80,207
1783481863,169,80,89
1783481883,97,49,47
1783481903,46,24,22
1783481923,937,466,471
1783481943,937,466,470
1783481963,936,465,470
1783481983,936,465,470
1783482003,936,465,470
1783482023,932,463,468
1783482043,894,426,468
1783482063,812,344,468
1783482083,809,344,464
1783482104,808,344,464
1783482124,805,340,465
1783482144,799,333,466
1783482164,792,325,466
1783482184,768,303,465
1783482204,701,237,463
1783482224,629,166,463
1783482244,561,98,463
1783482264,490,81,408
1783482284,446,81,364
1783482304,328,81,246
1783482324,312,81,230
1783482344,311,81,230
1783482364,312,81,230
1783482384,312,81,230
1783482404,312,81,230
1783482424,312,81,230
1783482444,312,81,230
1783482464,312,81,230
1783482484,312,81,230
1783482504,312,81,230
1783482524,310,81,228
1783482544,307,81,225
1783482564,307,81,225
1783482585,307,81,225
1783482605,307,81,225
1783482625,307,81,225
1783482645,307,81,225
1783482665,306,81,225
1783482685,307,81,225
1783482705,307,81,225
1783482725,307,81,225
1783482745,306,81,225
1783482765,307,81,225
1783482785,306,81,225
1783482805,305,81,223
1783482825,304,81,222
1783482845,303,81,221
1783482865,303,81,221
1783482885,303,81,221
1783482905,303,81,221
1783482925,303,81,221
1783482945,303,81,221
1783482965,302,81,221
1783482985,303,81,221
1783483005,302,81,221
1783483025,302,81,221
1783483045,302,81,221
1783483066,302,81,220
1783483086,302,81,220
1783483106,302,81,220
1783483126,302,81,220
1783483146,302,81,221
1783483166,302,81,221
1783483186,302,81,220
1783483206,302,81,220
1783483226,302,81,220
1783483246,302,81,220
1783483266,302,81,220
1783483286,302,81,220
1783483306,302,81,220
1783483326,302,81,220
1783483346,302,81,220
1783483366,302,81,220
1783483386,302,81,220
1783483406,313,84,228
1783483426,921,461,459
1783483446,921,460,460
1783483466,921,460,460
1783483486,921,460,460
1783483506,919,459,460
1783483526,883,423,460
1783483546,798,339,459
1783483567,797,339,457
1783483587,796,339,457
1783483607,793,335,457
1783483627,785,328,457
1783483647,778,320,457
1783483667,763,305,457
1783483687,677,218,458
1783483707,542,83,459
1783483727,409,82,327
1783483747,274,82,192
1783483767,153,80,73
1783483787,86,40,45
1783483807,854,423,430
1783483827,938,467,471
1783483847,937,466,471
1783483867,937,466,471
1783483887,937,465,471
1783483907,935,464,471
1783483927,914,443,471
1783483947,818,347,471
1783483967,811,340,471
1783483987,809,338,471
1783484007,808,337,471
1783484027,803,331,471
1783484047,796,326,470
1783484067,789,319,469
1783484088,769,301,467
1783484108,769,301,467
1783484128,929,460,468
1783484148,929,460,468
1783484168,929,460,468
1783484188,929,460,468
1783484208,929,461,468
1783484228,926,457,468
1783484248,845,377,467
1783484268,805,338,467
1783484288,805,338,467
1783484308,805,338,467
1783484328,800,333,467
1783484348,793,326,467
1783484368,786,319,467
1783484388,766,299,466
1783484408,632,165,467
1783484428,512,74,437
1783484448,389,74,314
1783484468,267,74,192
1783484488,175,74,100
1783484508,102,43,58
1783484528,505,392,112
1783484548,937,466,471
1783484568,937,465,471
1783484588,936,465,471
1783484608,936,465,471
1783484629,935,464,470
1783484649,925,457,468
1783484669,832,364,468
1783484689,809,341,468
1783484709,807,339,468
1783484729,807,339,468
1783484749,801,333,468
1783484769,795,327,467
1783484789,788,321,467
1783484809,726,261,465
1783484829,662,197,465
1783484849,591,125,465
1783484869,534,79,455
1783484889,927,461,465
1783484909,926,460,465
1783484929,926,460,465
1783484949,926,460,465
1783484969,927,461,465
1783484989,924,458,465
